entry_lon,entry_lat,bp_lon,bp_lat,exit_lon,exit_lat,entry,bp,exit,total
-3.4692938,39.89310385,-2.4699896,36.8392791,0.614155231,28.0715874,Spain,Almeria,Algeria,23796
-3.4692938,39.89310385,-2.4699896,36.8392791,0.614155231,28.0715874,Spain,Almeria,Algeria,
4.864155415,50.50348206,2.7167,51.0167,9.072207177,42.18109118,Belgium,Alveringem,France,5
-8.275900781,39.55529266,-7.0084523,38.8789,-3.4692938,39.89310385,Portugal,Badajoz,Spain,16284
-3.4692938,39.89310385,-7.0084523,38.8789,-8.275900781,39.55529266,Spain,Badajoz,Portugal,233
14.78046256,47.69977491,16.5013029,47.7380714,19.6366648,48.67421305,Austria,Baumgarten,Slovak Republic,251646
-1.91552148,54.30762431,4.6194,52.4586,5.515399956,52.10755781,United Kingdom,BBL,Netherlands,48401
5.515399956,52.10755781,4.6194,52.4586,-1.91552148,54.30762431,Netherlands,BBL,United Kingdom,3017
19.1372273,47.16442951,22.533333,48.2,33.90278896,48.38306852,Hungary,Beregdaroc,Ukraine,43390
33.90278896,48.38306852,22.533333,48.2,19.1372273,47.16442951,Ukraine,Beregdaroc,Hungary,2132
-3.4692938,39.89310385,1.74306,43.33333,9.072207177,42.18109118,Spain,Biriatou,France,34
9.072207177,42.18109118,1.74306,43.33333,-3.4692938,39.89310385,France,Biriatou,Spain,139
8.450110869,46.82297449,8.95,45.833,12.68232471,42.50245184,Switzerland,Bizzarone Como,Italy,616
9.072207177,42.18109118,3.8916,50.3578,4.864155415,50.50348206,France,Blaregnies (H),Belgium,24331
10.56953322,51.16623382,5.9658,50.8166163,5.515399956,52.10755781,Germany,Bocholtz,Netherlands,82339
10.56953322,51.16623382,13.41666667,50.62972222,15.53142738,49.80026456,Germany,Brandov,Czech Republic,1614
15.53142738,49.80026456,13.41666667,50.62972222,10.56953322,51.16623382,Czech Republic,Brandov,Germany,85160
6.082987573,49.81307125,5.733533,50.316667,4.864155415,50.50348206,Luxembourg,Bras,Belgium,2949
33.90278896,48.38306852,22.15,48.533333,19.6366648,48.67421305,Ukraine,Budince,Slovak Republic,11987
24.305777,45.93852415,20.73,46.25,19.1372273,47.16442951,Romania,Csanadpalota,Hungary,1239
19.1372273,47.16442951,20.73,46.25,24.305777,45.93852415,Hungary,Csanadpalota,Romania,43
35.49548383,38.95101273,44.068778,39.547074,54.13338218,32.41314201,Turkey,Dogubajazit,Iran,52227
10.56953322,51.16623382,7.4167,53.65,12.66272154,64.55543029,Germany,Dornum,Norway,131390
14.89942258,62.19330904,12.6664,55.5945,9.202974158,55.93364831,Sweden,Dragor,Denmark,7681
15.34117275,44.74647875,18.1,45.5,19.1372273,47.16442951,Croatia,Dravaszerdahely,Hungary,681
19.15621438,51.9154574,22.8833,49.7,33.90278896,48.38306852,Poland,Drozdowicze,Ukraine,24236
9.072207177,42.18109118,2.3775,51.0383,12.66272154,64.55543029,France,Dunkerque,Norway,104101
-1.91552148,54.30762431,-1.3525286,54.7809887,12.66272154,64.55543029,United Kingdom,Easington,Norway,111341
10.56953322,51.16623382,9.316666667,54.76666667,9.202974158,55.93364831,Germany,Ellund,Denmark,5863
9.202974158,55.93364831,9.316666667,54.76666667,10.56953322,51.16623382,Denmark,Ellund,Germany,1461
10.56953322,51.16623382,7.2061,53.3669,12.66272154,64.55543029,Germany,Emden (EPT1),Norway,51822
5.515399956,52.10755781,7.2061,53.3669,12.66272154,64.55543029,Netherlands,Emden (EPT1),Norway,69884
12.66272154,64.55543029,7.2061,53.3669,5.515399956,52.10755781,Norway,Emden (EPT1),Netherlands,5522
10.56953322,51.16623382,7.2061,53.3669,12.66272154,64.55543029,Germany,Emden (NPT),Norway,14320
5.515399956,52.10755781,7.2061,53.3669,12.66272154,64.55543029,Netherlands,Emden (NPT),Norway,29014
12.66272154,64.55543029,7.2061,53.3669,5.515399956,52.10755781,Norway,Emden (NPT),Netherlands,321
10.56953322,51.16623382,6.0667,50.7,4.864155415,50.50348206,Germany,Eynatten (EON/RWE),Belgium,6769
4.864155415,50.50348206,6.0667,50.7,10.56953322,51.16623382,Belgium,Eynatten (EON/RWE),Germany,10706
4.864155415,50.50348206,6.0667,50.7,10.56953322,51.16623382,Belgium,Eynatten (Sum),Germany,12619
10.56953322,51.16623382,6.0667,50.7,4.864155415,50.50348206,Germany,Eynatten (Sum),Belgium,17095
10.56953322,51.16623382,6.0667,50.7,4.864155415,50.50348206,Germany,Eynatten (Wingas),Belgium,10328
4.864155415,50.50348206,6.0667,50.7,10.56953322,51.16623382,Belgium,Eynatten (Wingas),Germany,1915
8.875653987,33.80444764,8.696111111,36.65555556,0.614155231,28.0715874,Tunisia,Fernana,Algeria,134536
19.15621438,51.9154574,14.4892324,52.2577475,10.56953322,51.16623382,Poland,Finkenherd (EWE),Germany,152
12.68232471,42.50245184,14.2403537,37.0741526,17.24016379,26.3083336,Italy,Gela,Libya,43920
12.68232471,42.50245184,13.6201754,45.9401812,14.62528747,46.15133689,Italy,Gorizia,Slovenia,523
14.62528747,46.15133689,13.6201754,45.9401812,12.68232471,42.50245184,Slovenia,Gorizia,Italy,1227
12.68232471,42.50245184,8.3666667,46.45,8.450110869,46.82297449,Italy,Griespass,Switzerland,64147
19.15621438,51.9154574,14.7284576,51.9489824,10.56953322,51.16623382,Poland,Gubin,Germany,27
10.56953322,51.16623382,6.0758651,50.8815011,5.515399956,52.10755781,Germany,Haanrade (RWE),Netherlands,141
33.90278896,48.38306852,22.8148987,49.7230552,19.15621438,51.9154574,Ukraine,Hermanowice,Poland,1948
4.864155415,50.50348206,5.1384062,51.4833,5.515399956,52.10755781,Belgium,Hilvarenbeek,Netherlands,66370
10.56953322,51.16623382,13.4367336,50.6063162,15.53142738,49.80026456,Germany,Hora svate Kateriny,Czech Republic,21264
15.53142738,49.80026456,13.4367336,50.6063162,10.56953322,51.16623382,Czech Republic,Hora svate Kateriny,Germany,9323
27.55134267,64.95644391,28.7720669,61.1704554,88.39929835,59.46859426,Finland,Imatra,Russia,25830
-1.91552148,54.30762431,-122.1138941,37.2295179,4.864155415,50.50348206,United Kingdom,Interconnector,Belgium,7378
4.864155415,50.50348206,-122.1138941,37.2295179,-1.91552148,54.30762431,Belgium,Interconnector,United Kingdom,40158
12.66272154,64.55543029,3.273144,56.320344,-1.91552148,54.30762431,Norway,Interfield transfer from Blane to Ula,United Kingdom,43
24.305777,45.93852415,28.4597,45.2697,33.90278896,48.38306852,Romania,Isaccea,Ukraine,118186
21.7453485,41.61252509,22.398599,42.2242526,25.19189629,42.72438482,"Macedonia, Former Yugoslav Republic",Jidilovo,Bulgaria,861
10.56953322,51.16623382,14.2064738,53.8701854,19.15621438,51.9154574,Germany,Kamminke,Poland,125
25.48405617,58.61165381,25.5856479,58.116204,24.40048466,56.87576073,Estonia,Karksi,Latvia,2491
14.78046256,47.69977491,12.1833,47.6167,10.56953322,51.16623382,Austria,Kiefersfelden,Germany,1656
24.40048466,56.87576073,24.2909849,56.2502439,24.173419,55.17008378,Latvia,Kiem_nai,Lithuania,255
24.173419,55.17008378,24.2909849,56.2502439,24.40048466,56.87576073,Lithuania,Kiem_nai,Latvia,106
21.58119099,39.71184971,26.3069723,40.9536001,35.49548383,38.95101273,Greece,Kipi,Turkey,4274
21.00467026,44.20537993,20.063011,46.2730809,19.1372273,47.16442951,Serbia,Kiskundorozsma,Hungary,13352
19.15621438,51.9154574,23.910169,53.03333333,27.98576742,53.71983752,Poland,Kondratki,Belarus,201779
24.40048466,56.87576073,26.92,57.5928519,88.39929835,59.46859426,Latvia,Korneti,Russia,14602
88.39929835,59.46859426,26.92,57.5928519,24.40048466,56.87576073,Russia,Korneti,Latvia,3392
24.173419,55.17008378,25.745242,54.717094,27.98576742,53.71983752,Lithuania,Kotlovka,Belarus,31250
21.58119099,39.71184971,22.951858,41.339948,25.19189629,42.72438482,Greece,Kula,Bulgaria,14502
14.78046256,47.69977491,16.3874982,48.7188061,15.53142738,49.80026456,Austria,Laa,Czech Republic,140
15.53142738,49.80026456,16.9669527,48.72416667,19.6366648,48.67421305,Czech Republic,Lanzhot,Slovak Republic,112739
19.6366648,48.67421305,16.9669527,48.72416667,15.53142738,49.80026456,Slovak Republic,Lanzhot,Czech Republic,27097
-3.4692938,39.89310385,-0.9640472,43.0107711,9.072207177,42.18109118,Spain,Larrau,France,17399
19.15621438,51.9154574,15.097319,51.2445632,10.56953322,51.16623382,Poland,Lasow,Germany,7078
