variable,region,scenario,year,value
Needing moderate heating and moderate cooling,Asia Pacific,STEPS,2040,6
Needing moderate heating and moderate cooling,Central & South America,STEPS,2040,0
Needing moderate heating and moderate cooling,North America,STEPS,2040,16
Needing moderate heating and moderate cooling,Eurasia,STEPS,2040,13
Needing moderate heating and moderate cooling,Europe,STEPS,2040,5
Needing moderate heating and moderate cooling,Middle East,STEPS,2040,10
Needing moderate heating and moderate cooling,Africa,STEPS,2040,0
Needing moderate heating and moderate cooling,World,STEPS,2040,5
Needing moderate heating and moderate cooling,Asia Pacific,STEPS,2070,4
Needing moderate heating and moderate cooling,Central & South America,STEPS,2070,0
Needing moderate heating and moderate cooling,North America,STEPS,2070,17
Needing moderate heating and moderate cooling,Eurasia,STEPS,2070,10
Needing moderate heating and moderate cooling,Europe,STEPS,2070,6
Needing moderate heating and moderate cooling,Middle East,STEPS,2070,7
Needing moderate heating and moderate cooling,Africa,STEPS,2070,0
Needing moderate heating and moderate cooling,World,STEPS,2070,4
Needing low heating and moderate cooling,Asia Pacific,0,2019,7
Needing low heating and moderate cooling,Central & South America,0,2019,3
Needing low heating and moderate cooling,North America,0,2019,7
Needing low heating and moderate cooling,Eurasia,0,2019,6
Needing low heating and moderate cooling,Europe,0,2019,15
Needing low heating and moderate cooling,Middle East,0,2019,6
Needing low heating and moderate cooling,Africa,0,2019,2
Needing low heating and moderate cooling,World,0,2019,7
Needing low heating and moderate cooling,Asia Pacific,SDS,2040,6
Needing low heating and moderate cooling,Central & South America,SDS,2040,2
Needing low heating and moderate cooling,North America,SDS,2040,7
Needing low heating and moderate cooling,Eurasia,SDS,2040,6
Needing low heating and moderate cooling,Europe,SDS,2040,17
Needing low heating and moderate cooling,Middle East,SDS,2040,4
Needing low heating and moderate cooling,Africa,SDS,2040,2
Needing low heating and moderate cooling,World,SDS,2040,6
Needing low heating and moderate cooling,Asia Pacific,SDS,2070,5
Needing low heating and moderate cooling,Central & South America,SDS,2070,2
Needing low heating and moderate cooling,North America,SDS,2070,6
Needing low heating and moderate cooling,Eurasia,SDS,2070,7
Needing low heating and moderate cooling,Europe,SDS,2070,17
Needing low heating and moderate cooling,Middle East,SDS,2070,4
Needing low heating and moderate cooling,Africa,SDS,2070,1
Needing low heating and moderate cooling,World,SDS,2070,5
Needing low heating and moderate cooling,Asia Pacific,STEPS,2040,5
Needing low heating and moderate cooling,Central & South America,STEPS,2040,2
Needing low heating and moderate cooling,North America,STEPS,2040,5
Needing low heating and moderate cooling,Eurasia,STEPS,2040,6
Needing low heating and moderate cooling,Europe,STEPS,2040,17
Needing low heating and moderate cooling,Middle East,STEPS,2040,4
Needing low heating and moderate cooling,Africa,STEPS,2040,2
Needing low heating and moderate cooling,World,STEPS,2040,5
Needing low heating and moderate cooling,Asia Pacific,STEPS,2070,4
Needing low heating and moderate cooling,Central & South America,STEPS,2070,2
Needing low heating and moderate cooling,North America,STEPS,2070,5
Needing low heating and moderate cooling,Eurasia,STEPS,2070,8
Needing low heating and moderate cooling,Europe,STEPS,2070,18
Needing low heating and moderate cooling,Middle East,STEPS,2070,2
Needing low heating and moderate cooling,Africa,STEPS,2070,1
Needing low heating and moderate cooling,World,STEPS,2070,4
Living in high heating and cooling density areas,Asia Pacific,0,2019,3
Living in high heating and cooling density areas,Central & South America,0,2019,0
Living in high heating and cooling density areas,North America,0,2019,6
Living in high heating and cooling density areas,Eurasia,0,2019,2
Living in high heating and cooling density areas,Europe,0,2019,1
Living in high heating and cooling density areas,Middle East,0,2019,1
Living in high heating and cooling density areas,Africa,0,2019,0
Living in high heating and cooling density areas,World,0,2019,2
Living in high heating and cooling density areas,Asia Pacific,SDS,2040,2
Living in high heating and cooling density areas,Central & South America,SDS,2040,0
Living in high heating and cooling density areas,North America,SDS,2040,8
Living in high heating and cooling density areas,Eurasia,SDS,2040,3
Living in high heating and cooling density areas,Europe,SDS,2040,1
Living in high heating and cooling density areas,Middle East,SDS,2040,1
Living in high heating and cooling density areas,Africa,SDS,2040,0
Living in high heating and cooling density areas,World,SDS,2040,2
Living in high heating and cooling density areas,Asia Pacific,SDS,2070,2
Living in high heating and cooling density areas,Central & South America,SDS,2070,0
Living in high heating and cooling density areas,North America,SDS,2070,9
Living in high heating and cooling density areas,Eurasia,SDS,2070,3
Living in high heating and cooling density areas,Europe,SDS,2070,1
Living in high heating and cooling density areas,Middle East,SDS,2070,1
Living in high heating and cooling density areas,Africa,SDS,2070,0
Living in high heating and cooling density areas,World,SDS,2070,2
Living in high heating and cooling density areas,Asia Pacific,STEPS,2040,3
Living in high heating and cooling density areas,Central & South America,STEPS,2040,0
Living in high heating and cooling density areas,North America,STEPS,2040,10
Living in high heating and cooling density areas,Eurasia,STEPS,2040,3
Living in high heating and cooling density areas,Europe,STEPS,2040,1
Living in high heating and cooling density areas,Middle East,STEPS,2040,1
Living in high heating and cooling density areas,Africa,STEPS,2040,0
Living in high heating and cooling density areas,World,STEPS,2040,2
Living in high heating and cooling density areas,Asia Pacific,STEPS,2070,1
Living in high heating and cooling density areas,Central & South America,STEPS,2070,0
Living in high heating and cooling density areas,North America,STEPS,2070,12
Living in high heating and cooling density areas,Eurasia,STEPS,2070,3
