;2019_SDS_CDD_a;2019_SDS_CDD_b;2019_SDS_HDD_a;2019_SDS_HDD_b;2019_SDS_LIVING_a;2019_SDS_LIVING_b;2019_STEPS_CDD_a;2019_STEPS_CDD_b;2019_STEPS_HDD_a;2019_STEPS_HDD_b;2019_STEPS_LIVING_a;2019_STEPS_LIVING_b;2030_SDS_CDD_a;2030_SDS_CDD_b;2030_SDS_HDD_a;2030_SDS_HDD_b;2030_SDS_LIVING_a;2030_SDS_LIVING_b;2030_STEPS_CDD_a;2030_STEPS_CDD_b;2030_STEPS_HDD_a;2030_STEPS_HDD_b;2030_STEPS_LIVING_a;2030_STEPS_LIVING_b;2070_SDS_CDD_a;2070_SDS_CDD_b;2070_SDS_HDD_a;2070_SDS_HDD_b;2070_SDS_LIVING_a;2070_SDS_LIVING_b;2070_STEPS_CDD_a;2070_STEPS_CDD_b;2070_STEPS_HDD_a;2070_STEPS_HDD_b;2070_STEPS_LIVING_a;2070_STEPS_LIVING_b
Asia Pacific;99;77;36;19;5;60;99;77;36;19;5;60;100;76;34;18;5;96;100;77;34;18;5;20;100;80;29;18;5;86;100;80;28;17;5;86
Central & South America;99;85;10;3;1;54;99;85;10;3;1;54;99;88;8;4;2;24;99;89;8;4;2;33;99;88;9;3;1;28;99;88;8;2;0;91
North America;97;39;58;36;9;90;97;39;58;36;9;90;97;41;57;35;13;20;97;42;57;33;15;100;97;41;58;34;15;52;97;41;56;27;15;91
Eurasia;56;10;100;69;11;70;56;10;100;69;11;70;60;12;100;68;25;78;61;13;100;68;24;77;68;13;100;61;24;11;69;13;100;58;23;4
Europe;87;9;95;35;11;20;87;9;95;35;11;20;86;10;94;32;16;100;87;11;94;31;16;54;85;11;94;30;16;65;85;11;93;23;15;52
Middle East;100;87;43;1;5;54;100;87;43;1;5;54;100;89;38;1;5;49;100;90;39;1;5;72;100;90;38;1;5;63;100;90;29;1;4;14
Africa;100;94;2;0;0;6;100;94;2;0;0;6;100;97;2;0;0;25;100;97;2;0;0;37;100;98;1;0;0;16;100;98;1;0;0;97
World;97;71;38;28;5;62;97;71;38;28;5;62;97;73;35;26;6;33;97;74;35;26;6;65;98;80;27;25;5;9;98;80;26;22;5;14
