variable,region,scenario,year,value
Living in high heat density areas,Asia Pacific,0,2019,4
Living in high heat density areas,Central & South America,0,2019,1
Living in high heat density areas,North America,0,2019,18
Living in high heat density areas,Eurasia,0,2019,32
Living in high heat density areas,Europe,0,2019,21
Living in high heat density areas,Middle East,0,2019,6
Living in high heat density areas,Africa,0,2019,0
Living in high heat density areas,World,0,2019,6
Living in high heat density areas,Asia Pacific,SDS,2040,4
Living in high heat density areas,Central & South America,SDS,2040,1
Living in high heat density areas,North America,SDS,2040,21
Living in high heat density areas,Eurasia,SDS,2040,34
Living in high heat density areas,Europe,SDS,2040,22
Living in high heat density areas,Middle East,SDS,2040,5
Living in high heat density areas,Africa,SDS,2040,0
Living in high heat density areas,World,SDS,2040,6
Living in high heat density areas,Asia Pacific,SDS,2070,3
Living in high heat density areas,Central & South America,SDS,2070,1
Living in high heat density areas,North America,SDS,2070,24
Living in high heat density areas,Eurasia,SDS,2070,37
Living in high heat density areas,Europe,SDS,2070,24
Living in high heat density areas,Middle East,SDS,2070,4
Living in high heat density areas,Africa,SDS,2070,0
Living in high heat density areas,World,SDS,2070,6
Living in high heat density areas,Asia Pacific,STEPS,2040,4
Living in high heat density areas,Central & South America,STEPS,2040,1
Living in high heat density areas,North America,STEPS,2040,21
Living in high heat density areas,Eurasia,STEPS,2040,34
Living in high heat density areas,Europe,STEPS,2040,22
Living in high heat density areas,Middle East,STEPS,2040,5
Living in high heat density areas,Africa,STEPS,2040,0
Living in high heat density areas,World,STEPS,2040,6
Living in high heat density areas,Asia Pacific,STEPS,2070,3
Living in high heat density areas,Central & South America,STEPS,2070,1
Living in high heat density areas,North America,STEPS,2070,24
Living in high heat density areas,Eurasia,STEPS,2070,35
Living in high heat density areas,Europe,STEPS,2070,23
Living in high heat density areas,Middle East,STEPS,2070,4
Living in high heat density areas,Africa,STEPS,2070,0
Living in high heat density areas,World,STEPS,2070,6
