variable,ISO,region,scenario,year,value
Need of heating only ,KAZ,Kazakhstan,0,2019,17.6
Need of heating only ,PRI,Puerto Rico,0,2019,0.0
Need of heating only ,BWA,Botswana,0,2019,0.0
Need of heating only ,PRT,Portugal,0,2019,0.0
Need of heating only ,KOR,Korea,0,2019,0.0
Need of heating only ,GRL,Greenland,0,2019,100.0
Need of heating only ,CHN,Chinese Taipei,0,2019,0.0
Need of heating only ,GGY,Guernsey,0,2019,0.0
Need of heating only ,BGD,Bangladesh,0,2019,0.0
Need of heating only ,SGP,Singapore,0,2019,0.0
Need of heating only ,BLM,Saint Barth̩lemy,0,2019,0.0
Need of heating only ,JEY,Jersey,0,2019,0.0
Need of heating only ,TCD,Chad,0,2019,0.0
Need of heating only ,NFK,Norfolk Island,0,2019,0.0
Need of heating only ,ABCDE,Japan-Russia,0,2019,100.0
Need of heating only ,CHN,Macau (China),0,2019,0.0
Need of heating only ,HMD,Heard Island and McDonald Islands,0,2019,0.0
Need of heating only ,GMB,Gambia,0,2019,0.0
Need of heating only ,PAN,Panama,0,2019,0.0
Need of heating only ,EGY,Egypt,0,2019,0.0
Need of heating only ,ABW,Aruba,0,2019,0.0
Need of heating only ,NIC,Nicaragua,0,2019,0.0
Need of heating only ,AGO,Angola,0,2019,0.0
Need of heating only ,BDI,Burundi,0,2019,0.0
Need of heating only,COD,Democratic Republic of the Congo,0,2019,0.0
Need of heating only,VGB,British Virgin Islands,0,2019,0.0
Need of heating only,BRA,Brazil,0,2019,0.0
Need of heating only,COK,Cook Islands,0,2019,0.0
Need of heating only,DZA,Algeria,0,2019,0.0
Need of heating only,QAT,Qatar,0,2019,0.0
Need of heating only,MKD,North Macedonia,0,2019,0.0
Need of heating only,BGR,Bulgaria,0,2019,1.8
Need of heating only,KIR,Kiribati,0,2019,0.0
Need of heating only,CAN,Canada,0,2019,47.1
Need of heating only,MYS,Malaysia,0,2019,0.0
Need of heating only,LBR,Liberia,0,2019,0.0
Need of heating only,SGS,South Georgia and the South Sandwich Isla,0,2019,0.0
Need of heating only,TJK,Tajikistan,0,2019,16.0
Need of heating only,AFG,Afghanistan,0,2019,12.6
Need of heating only,CMR,Cameroon,0,2019,0.0
Need of heating only,WSM,Samoa,0,2019,0.0
Need of heating only,REU,R̩union,0,2019,0.0
