country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Belgium,765631.6,457348.12,561268.3,588166.2,647801.06,572060.2,672553.7,451852.94,381689.84,722846.25,814133.9,549427.1,832454.94,689352.5,838665.44,631306.3,483998.84,955184.6,913034.3,979156.2,993970.3,986679.7,962206,791300.06,457112.44,801933.25,665443.75,562269.6,679373,533159.25
Belize,1061380,904158.56,884207,907120.7,897161.9,851014.3,926176.9,871130.44,792010.44,989692.94,1106083.6,987469.1,1088112.1,1049911.2,766907.1,936396.44,907151.6,937151.4,790168.56,1146422.1,968903.06,824008.7,947626.25,935895.9,923061.9,890267.75,891691.1,1009660.6,856222.56,827194.2
Benin,922492.25,1007484.75,971518.5,1006783.44,978248.56,917089.2,758445.5,858222.9,1002311.5,969222.75,719915.06,934584.3,687925.2,878279.56,927118.1,927607.9,1007574.4,1023209.8,979041.7,991455.5,949132.7,940425.1,746335.9,823056.8,914845.75,872549.2,892142.2,939882.25,959867.25,814439.75
Bhutan,594185.8,801461.44,846116,591402.9,691462.8,816405.06,703351.2,919613.8,556491.06,941782.1,989094.75,984770.94,914901.1,814269.75,764050.5,779391.4,723644.1,872884.56,981336.5,1018094.06,840057.94,761712.4,841384.4,1024645.94,1035169.8,889705.6,761874.4,506346.75,731974.6,618291.44
Bolivia,742825,692121.56,663157.75,757876.7,628080.3,732452.7,937310,990532.7,963560.1,869025.75,682737.6,739004.8,822234.06,833561.4,752735.8,589686.6,651321.7,770708.75,792100.3,764339.2,728787.06,645409.5,519693.53,594926.5,745590.8,714608.2,623736.1,663793.06,716223.75,593742.3
Bosnia and Herzegovina,908915.5,853658.2,652013.6,769967.4,443399.75,764677.9,634722.6,394093.94,447539.34,488264.78,479645.9,322179,372035.5,444100.78,633343,889965,967231.25,778341.6,806442.9,1057294.5,1065235.2,981687.5,610776.75,863256.6,977171.2,928498.7,629879.8,871572.75,399301.28,376404.12
Botswana,939302.7,898779.44,916623.3,929558.4,873631,840278.6,810711.06,790744.6,865971.3,833855.5,564959.56,736153.3,790308.94,833750.6,820925.56,853797.4,880750.06,859970.3,868928.06,842372.4,792357.56,687168.4,635525.06,761311.2,800079.44,852073.9,867053.9,841395.1,825352.8,823689.4
Brazil,784635.06,777800.06,709972.4,688610.06,678236.1,641062.7,576408.44,628008.3,666044,643597.8,663840.6,709257.2,707156.06,678906.7,661444.2,676714.2,700126,775353.94,743266,673697.2,655563.56,662871.75,671422.7,706919.1,718466.8,665512.7,674183.56,699643.9,703103.2,687409
British Indian Ocean Territory,983286.5,973328.56,1010468.56,1009598.7,885074.2,845253.06,1017097.3,981428.94,997288,1005268.06,891415.5,955590.06,822450.7,893229.3,774540,826480.5,716983.25,794560,746791.7,490919.72,490421.78,571793.06,574025.44,782246.56,811606.3,813608.8,924348.2,857347.56,822289.3,823014.3
British Virgin Islands,977473.06,990945.8,968439.56,1067586.4,1020413.75,1054121.9,991359.4,1076244.6,999296,1057384.9,992435.8,1059986.1,1117452.4,1131188.6,949310.9,1031321.5,1059813,1114821.1,1075646.9,1038634.94,1067316.8,1125167.1,1149927.2,1058838.9,1134860.6,1077071.2,1080943.6,1021219.56,1092874.2,1046788.44
Brunei Darussalam,936181.44,1021431.8,965560.25,997358.3,879800.2,912271.2,880313.4,909485.3,908288.2,822312.1,871288.4,759439.3,833621.25,894718.5,837264.25,887993.75,938491.8,960336.25,887719.56,656482.7,856205.4,959918.75,890096.4,896925.6,800523.2,542551.44,704291.3,174243.89,711917.25,672508.3
