LATITUDE;LONGITUDE;SECTOR;value
41.8167;1.4667;Cement;0.388569
38.9333;-9.0169;Cement;1.230469
37.15;-8;Cement;0.291427
40.2867;-8.425;Cement;1.133327
39.6833;-8.9;Cement;0.259046
42;-8.6167;Cement;0.453331
38.5243;-8.8926;Cement;0.647615
59.5;26.5333;Cement;0.259046
56.6667;22.5667;Cement;0.647615
56.3167;22.9;Cement;0.485711
50.5333;17.9667;Cement;1.295231
50.8169;20.55;Cement;0.518092
50.6667;17.9333;Cement;0.226665
51.0833;23.2667;Cement;0.097142
51.1333;23.4833;Cement;0.647615
50.8755;19.2559;Cement;0.388569
50.8908;21.6678;Cement;0.906661
51.1167;18.8667;Cement;0.647615
52.8203;18.0397;Cement;0.647615
53.1219;18.0003;Cement;0.647615
49.5525;17.7683;Cement;0.356188
49.2203;16.75;Cement;0.453331
49.4839;17.6286;Cement;0.161904
49.8944;15.6258;Cement;0.291427
50.4839;14.0311;Cement;0.356188
48.05;20.3667;Cement;0.194285
45.7838;18.4323;Cement;0.453331
47.7752;19.131;Cement;0.453331
46;17.9667;Cement;0.323808
48.1042;20.7917;Cement;0.194285
47.748;18.4875;Cement;0.129523
48.9833;18.1;Cement;0.161904
48.4588;17.1856;Cement;0.356188
49.0333;18.2833;Cement;0.129523
48.6006;20.8947;Cement;0.259046
46.15;15.05;Cement;0.161904
46.0588;13.6235;Cement;0.323808
43.55;16.4261;Cement;0.356188
43.535;16.485;Cement;0.161904
43.5599;16.521;Cement;0.129523
44.9686;14.1233;Cement;0.161904
45.49;18.09;Cement;0.194285
44.8667;13.85;Cement;0
44.55;18.5167;Cement;0.259046
44.1311;18.0972;Cement;0.259046
45.2;19.7333;Cement;0.388569
44;19.9167;Cement;0.291427
43.8667;21.4167;Cement;0.194285
42;21.4333;Cement;0.453331
40.4667;19.4833;Cement;0.032381
41.5;9.8;Cement;0.485711
41.4833;19.7167;Cement;0.42095
42.1475;21.2992;Cement;0.169999
43.2779;23.4638;Cement;0.259046
43.2167;27.5667;Cement;0.971423
42.05;25.6;Cement;0.259046
43.0833;24.15;Cement;0.485711
38.0667;23.5833;Cement;0.226665
40.65;22.9;Cement;0.615235
38.3838;24.0616;Cement;0.712377
39.3667;22.9333;Cement;1.457134
38.4167;23.0833;Cement;1.003804
38.25;21.7333;Cement;0.615235
34.7231;33.3112;Cement;0.809519
53.3333;32.05;Cement;0.226665
53.6667;23.8333;Cement;0.323808
53.7194;31.7139;Cement;0.194285
46.4857;30.7434;Cement;0.097142
46.6074;30.586;Cement;0.097142
49.4658;36.8678;Cement;1.295231
47.9167;55.25;Cement;0.518092
48.0261;25.9036;Cement;0.226665
48.6583;24.505;Cement;0.129523
49.5247;23.9789;Cement;0.874281
48.6833;26.5833;Cement;0.777138
50.5094;26.2597;Cement;0.647615
47.1686;31.7525;Cement;0.42095
