YEAR;FACILITY_NAME;GHGRP_ID;ADDRESS;LATITUDE;LONGITUDE;CITY;COUNTY;STATE;ZIP_CODE;PARENT_CO;SUBPARTS;NUM_SECTORS;TOTAL_REPORTED_CO2_tCO2;POWER;REFINING;IRON STEEL;CHEMICALS;CEMENT;TOTAL_CO2_tCO2
2017;Lamar Power (Paris);1001310;3205 FM 137;33.6314;-95.589;PARIS;Lamar;TX;75462;La Frontera Holdings, LLC (100%);D;1;2320059;2320059;0;0;0;0;2320059
2017;Lange;1000049;2900 LANGE ROAD;44.1212;-103.2608;RAPID CITY;Pennington;SD;57702;BLACK HILLS CORP (100%);C,D;1;5613;5613;0;0;0;0;5613
2017;Langley Gulch Power Plant;1007379;3806 Highway 30 South;43.9046;-116.8181;New Plymouth;Payette;ID;83655;IDACORP (100%);D;1;505230;505230;0;0;0;0;505230
2017;Lansing;1007419;2320 POWER PLANT DRIVE;43.3359;-91.1672;LANSING;Allamakee;IA;52151;ALLIANT ENERGY CORP (100%);C,D;1;1104267;1104267;0;0;0;0;1104267
2017;Lansing Smith Generating Plant;1001491;4300 HIGHWAY 2300;30.2689;-85.7003;SOUTHPORT;Bay;FL;32409;SOUTHERN CO (100%);C,D;1;1587682;1587682;0;0;0;0;1587682
2017;Laramie River;1001045;HWY 320;42.1103;-104.8828;WHEATLAND;Platte;WY;82070;BASIN ELECTRIC POWER COOPERATIVE (42.27%);;;;;;;;;
2017;Laredo;1006725;7300 CPL Road;27.5667;-99.5083;Laredo;Webb;TX;78041;TOPAZ POWER GROUP LLC (100%);D;1;58883;58883;0;0;0;0;58883
2017;Larkspur Energy Faciity;1000147;9355 OTAY MESA ROAD;32.5672;-116.9444;SAN DIEGO;San Diego;CA;92154;MITSUBISHI CORP (AMERICAS) (100%);D;1;27451;27451;0;0;0;0;27451
2017;Laskin Energy Center;1000686;5699 Colby Lake Road;47.5306;-92.1619;Hoyt Lakes;St. Louis;MN;55750;ALLETE INC (100%);C,D;1;5173;5173;0;0;0;0;5173
2017;Lauderdale;1007471;4300 SOUTHWEST 42ND STREET;26.0681;-80.1983;FORT LAUDERDALE;Broward;FL;33314;FPL GROUP INC (100%);C,D;1;1528312;1528312;0;0;0;0;1528312
2017;Lawrenceburg Energy Facility;1000138;582 W EADS PARKWAY;39.0913;-84.8667;LAWRENCEBURG;Dearborn;IN;47025;Lightstone Generation LLC (100%);C,D;1;2856919;2856919;0;0;0;0;2856919
2017;Lee County Generating Station, LLC;1001380;1674 RED BRICK RD;41.8287;-89.4054;DIXON;Lee;IL;61021;Bruce Power, LLC (100%);D;1;68078;68078;0;0;0;0;68078
2017;Lehigh Cement Co. LLC Nazareth;1001835;3938 EASTON NAZARETH HIGHWAY;40.72966;-75.30078;NAZARETH;NORTHAMPTON COUNTY;PA;18064;LEHIGH CEMENT CO LLC (100%);C,H;1;718890;0;0;0;0;718890;718890
2017;Lehigh Cement LLC;1002517;301 US 31;38.415722;-85.749361;SPEED;CLARK;IN;47172;LEHIGH CEMENT CO LLC (100%);C,H;1;531040;0;0;0;0;531040;531040
