SECTOR;value;LATITUDE;LONGITUDE
Cement;0.64804;28.2536;106.8615
Cement;0.13951;28.08;107.4939
Cement;0.13951;28.5539;106.344
Cement;1.12507;26.6826;106.4314
Cement;0.35102;27.5069;105.514
Cement;0.35102;28.08;107.4939
Cement;0.35102;28.5539;106.344
Cement;0.45003;26.6237;107.5205
Cement;0.072;26.8389;106.5884
Cement;0.70205;26.5338;106.8926
Cement;0.20251;28.1087;107.5904
Cement;0.0765;27.8144;106.9069
Cement;4.7118;19.2683;109.0533
Cement;0.0675;19.5213;109.5806
Cement;0.09001;19.4119;109.2788
Cement;0.13501;19.4119;109.2788
Cement;0.045;18.937;109.508
Cement;0.22501;18.6668;110.2569
Cement;0.27902;19.2389;108.9572
Cement;0.18001;40.5464;117.6596
Cement;0.70205;37.2813;114.4238
Cement;0.70205;37.0679;114.5071
Cement;5.20234;38.0859;114.3134
Cement;0.77405;38.0859;114.3134
Cement;0.13951;38.26;114.186
Cement;0.70205;37.4443;114.499
Cement;9.77463;39.8327;118.1621
Cement;0.27902;38.4444;114.3168
Cement;0.62104;40.3974;119.8127
Cement;0.56254;39.6305;118.1766
Cement;0.13951;39.6305;118.1766
Cement;0.84155;39.6305;118.1766
Cement;0.13951;46.0854;127.4035
Cement;0.49053;46.8127;130.3839
Cement;0.13951;47.3442;123.9812
Cement;0.18001;45.5477;126.9572
Cement;0.27902;47.138;129.2835
Cement;0.13951;46.2392;130.5533
Cement;0.16651;45.5477;129.9572
Cement;1.40409;47.792;126.6493
Cement;0.27902;45.3369;131.0114
Cement;0.70205;46.2392;130.5533
Cement;0.56254;34.3964;109.5658
Cement;0.72905;47.2233;131.2347
Cement;0.35102;35.0876;112.9506
Cement;0.54003;34.8028;113.3089
Cement;0.70205;34.456;113.0532
Cement;0.63004;36.1183;114.2478
Cement;0.63004;34.6137;112.4653
Cement;0.63004;32.9865;112.5349
Cement;0.27902;33.2544;113.0126
Cement;0.63004;32.3761;113.4118
Cement;0.63004;34.3123;112.8978
Cement;0.13501;36.2126;114.2318
Cement;0.90006;36.1085;114.3551
Cement;2.70017;35.4621;113.8054
Cement;0.84155;32.9865;112.5349
Cement;0.70205;35.3718;113.906
Cement;1.40409;35.7557;114.3183
Cement;0.70205;32.8021;114.0264
Cement;1.33209;34.515;112.1792
Cement;0.77405;34.7205;111.1034
Cement;0.35102;35.4027;114.067
Cement;0.35102;34.7276;112.7896
Cement;0.35102;32.8021;114.0264
Cement;0.90006;35.2141;113.2542
Cement;0.63004;32.1168;114.0586
Cement;1.33209;35.2561;113.3229
Cement;0.45003;35.0671;112.6027
Cement;0.08101;33.9147;114.5339
Cement;0.16651;34.9689;112.887
Cement;0.13951;34.2608;112.7921
Cement;1.12507;34.2373;113.4953
Cement;0.63004;34.3672;113.2659
