SECTOR,value,LONGITUDE,LATITUDE
Cement,0.388569,19.25,50.87
Cement,0.906661,21.66,50.89
Cement,0.647615,18.86,51.11
Cement,0.647615,18.03,52.82
Cement,0.647615,18,53.12
Cement,0.356188,17.76,49.55
Cement,0.453331,16.75,49.22
Cement,0.161904,17.62,49.48
Cement,0.291427,15.62,49.89
Cement,0.356188,14.03,50.48
Cement,0.194285,20.36,48.05
Cement,0.453331,18.43,45.78
Cement,0.453331,19.13,47.77
Cement,0.323808,17.96,46
Cement,0.194285,20.79,48.1
Cement,0.129523,18.48,47.74
Cement,0.161904,18.1,48.98
Cement,0.356188,17.18,48.45
Cement,0.129523,18.28,49.03
Cement,0.259046,20.89,48.6
Cement,0.161904,15.05,46.15
Cement,0.323808,13.62,46.05
Cement,0.356188,16.42,43.55
Cement,0.161904,16.48,43.53
Cement,0.129523,16.52,43.55
Cement,0.161904,14.12,44.96
Cement,0.194285,18.09,45.49
Cement,0.259046,18.51,44.55
Cement,0.259046,18.09,44.13
Cement,0.388569,19.73,45.2
Cement,0.291427,19.91,44
Cement,0.194285,21.41,43.86
Cement,0.453331,21.43,42
Cement,0.032381,19.48,40.46
Cement,0.485711,9.8,41.5
Cement,0.42095,19.71,41.48
Cement,0.169999,21.29,42.14
Cement,0.259046,23.46,43.27
Cement,0.971423,27.56,43.21
Cement,0.259046,25.6,42.05
Cement,0.485711,24.15,43.08
Cement,0.226665,23.58,38.06
Cement,0.615235,22.9,40.65
Cement,0.712377,24.06,38.38
Cement,1.457134,22.93,39.36
Cement,1.003804,23.08,38.41
Cement,0.615235,21.73,38.25
Cement,0.809519,33.31,34.72
Cement,0.226665,32.05,53.33
Cement,0.323808,23.83,53.66
Cement,0.194285,31.71,53.71
Cement,0.097142,30.74,46.48
Cement,0.097142,30.58,46.6
Cement,1.295231,36.86,49.46
Cement,0.518092,55.25,47.91
Cement,0.226665,25.9,48.02
Cement,0.129523,24.5,48.65
Cement,0.874281,23.97,49.52
Cement,0.777138,26.58,48.68
Cement,0.647615,26.25,50.5
Cement,0.42095,31.75,47.16
Cement,0.971423,26.01,46.9
Cement,0.550473,22.87,45.95
Cement,0.809519,25.41,45.12
Cement,0.42095,22.39,47.05
Cement,0.647615,25.04,45.26
Cement,0.064762,23.78,46.56
Cement,0.323808,25.61,45.66
Cement,0.679996,28.63,44.16
Cement,0.323808,28.95,47.73
Cement,0.323808,29,47.76
Chemicals,0.286372,13.61,50.56
Chemicals,0.013612,14.07,50.51
Chemicals,0.012496,14.07,50.51
Chemicals,0.023133,14.52,50.27
Chemicals,0.292322,13.61,50.56
Chemicals,0.031984,25.52,60.3
Chemicals,0.028488,25.52,60.29
Chemicals,0.032877,25.52,60.29
Chemicals,0.03548,15.71,50.05
Chemicals,0.029679,14.32,50.25
Chemicals,0.018893,21.46,49.72
Chemicals,0.022092,14.52,50.27
Chemicals,0.020753,15.1,51.63
Chemicals,0.083308,20.92,50.02
Chemicals,0.125706,21.97,51.45
Chemicals,0.040464,-1.18,54.59
Chemicals,0.035778,15.71,50.05
Chemicals,0.084052,24.33,55.08
Chemicals,0.011157,24.29,45.04
Chemicals,0.039274,2.97,48.58
Chemicals,0.056828,-1.26,54.58
Chemicals,0.035183,14.32,50.25
Chemicals,0.084796,14.54,53.57
Chemicals,0.011529,18.11,52.76
Chemicals,0.039274,-1.17,54.6
Chemicals,0.076614,-1.1,54.58
Chemicals,0.021496,-2.74,53.31
Chemicals,0.028117,-1.17,54.6
Chemicals,0.010637,25.61,42.05
Chemicals,0.039497,23.72,44.37
Chemicals,0.165872,24.33,55.08
Chemicals,0.036075,9.593,59.09
Chemicals,0.022761,6.554,60.11
Chemicals,0.014356,27.66,43.2
Chemicals,0.011232,-1.24,54.57
Chemicals,0.084052,24.5,46.51
Chemicals,0.010339,-1.27,54.58
Chemicals,0.008628,18.24,52.75
Chemicals,0.053778,9.621,59.12
Chemicals,0.013835,-1.27,54.58
Chemicals,0.013612,-1.18,54.59
Chemicals,0.012422,24.29,45.04
Chemicals,0.022017,27.7,43.26
Chemicals,0.110086,-1.1,54.58
Chemicals,0.010339,-2.74,53.31
Chemicals,0.048572,-2.79,53.28
Chemicals,0.076614,20.92,50.02
Chemicals,0.008703,-2.53,53.26
Chemicals,0.00848,-2.45,53.26
Chemicals,0.024621,6.554,60.11
Chemicals,0.062332,9.621,59.12
Chemicals,0.008405,9.586,59.1
Chemicals,0.017331,24.47,40.95
Chemicals,0.012199,-1.24,54.57
Chemicals,0.029158,-1.26,54.58
Chemicals,0.033546,9.593,59.09
Chemicals,0.015248,-1.2,54.63
Chemicals,0.057423,-1.26,54.58
Chemicals,0.012273,-1.2,54.63
Chemicals,0.078101,18.96,52.7
Chemicals,0.072225,18.25,50.3
Chemicals,0.033621,-3.5,54.41
Chemicals,0.00848,-2.53,53.26
Chemicals,0.008703,-0.16,53.61
Chemicals,0.034067,9.593,59.09
Chemicals,0.016141,4.1,48.52
Chemicals,0.023282,17.95,49.49
Chemicals,0.036447,25.52,60.3
Chemicals,0.023654,17.95,49.49
Chemicals,0.040985,-2.79,53.28
Chemicals,0.133888,17.93,48.18
Chemicals,0.010562,-2.74,53.31
Chemicals,0.041133,-3.5,54.41
Chemicals,0.027893,26.47,46.87
Chemicals,0.011455,-1.2,54.63
Chemicals,0.113061,-1.1,54.58
Chemicals,0.027819,-0.23,53.73
Chemicals,0.023728,8.685,63.41
Chemicals,0.069919,18.96,52.7
Chemicals,0.073936,18.11,52.76
Chemicals,0.061589,18.24,52.75
Chemicals,0.02224,24.89,43.71
Chemicals,0.099672,24.5,46.51
Chemicals,0.037191,9.593,59.09
Chemicals,0.032282,24.89,43.71
Chemicals,0.008628,-2.53,53.26
Chemicals,0.008926,-2.45,53.26
